Country,Year,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
Connecticut,29,421191.0,578600.0,340886.0,2.07,11.81,73706.0,9.56,16.23,17821.0,16342.0,4584.0,0.728
Connecticut,30,436842.0,578600.0,349879.0,2.23,12.25,79511.0,9.81,16.23,15651.0,16444.0,4612.0,0.755
Connecticut,31,449253.0,578600.0,357588.0,2.35,12.6,83855.0,10.03,16.23,12411.0,16856.0,4728.0,0.776
Connecticut,32,456090.0,574650.0,361495.0,2.43,12.79,86602.0,10.14,16.12,6837.0,16207.0,4546.0,0.794
Connecticut,33,465008.0,608600.0,365975.0,2.54,13.04,90574.0,10.26,17.07,8918.0,14860.0,4168.0,0.764
Connecticut,34,481826.0,666175.0,375795.0,2.74,13.51,97568.0,10.54,18.68,16818.0,14381.0,4034.0,0.723
Connecticut,35,502347.0,668125.0,387627.0,2.98,14.09,106224.0,10.87,18.74,20521.0,14140.0,3966.0,0.752
Connecticut,36,519400.0,740300.0,395554.0,3.24,14.57,115349.0,11.1,20.76,17053.0,14030.0,3935.0,0.702
Connecticut,37,533941.0,740300.0,402227.0,3.45,14.98,123198.0,11.28,20.76,14541.0,13871.0,3891.0,0.721
Connecticut,38,542414.0,740300.0,406697.0,3.57,15.21,127194.0,11.41,20.76,8473.0,13309.0,3733.0,0.733
Delaware,11,26410.0,88325.0,15911.0,0.29,2.71,2784.0,1.63,9.07,,,,0.299
Delaware,12,28413.0,91250.0,16647.0,0.42,2.92,4050.0,1.71,9.37,2003.0,2003.0,2057.0,0.311
Delaware,13,31090.0,91250.0,25649.0,,3.19,,2.63,9.37,2677.0,2340.0,2403.0,0.341
Delaware,14,31090.0,91250.0,25649.0,0.55,3.19,5354.0,2.63,9.37,0.0,1560.0,1602.0,0.341
Delaware,15,,,,,,,,,2866.75,1887.0,1938.0,
Delaware,16,,,,,,,,,2866.75,2083.0,2139.0,
Delaware,17,,,,,,,,,2866.75,2213.0,2273.0,
Delaware,18,42557.0,91250.0,35679.0,0.7,4.37,6768.0,3.66,9.37,2866.75,2307.0,2369.0,0.466
Delaware,19,45640.0,100375.0,38610.0,0.71,4.69,6919.0,3.96,10.31,3083.0,2461.0,2527.0,0.455
Delaware,20,49369.0,106600.0,41900.0,0.76,5.07,7355.0,4.3,10.95,3729.0,2611.0,2681.0,0.463
Delaware,21,54257.0,116325.0,45292.0,0.91,5.57,8847.0,4.65,11.95,4888.0,3310.0,3399.0,0.466
Delaware,22,60023.0,116325.0,49442.0,1.07,6.16,10448.0,5.08,11.95,5766.0,3724.0,3824.0,0.516
Delaware,23,64186.0,116325.0,52586.0,1.18,6.59,11464.0,5.4,11.95,4163.0,3909.0,4014.0,0.552
Delaware,24,66914.0,116325.0,55131.0,1.2,6.87,11647.0,5.66,11.95,2728.0,3889.0,3994.0,0.575
Delaware,25,68507.0,129250.0,56646.0,1.2,7.03,11724.0,5.82,13.27,1593.0,3707.0,3807.0,0.53
Delaware,26,77449.0,140850.0,64952.0,1.27,7.95,12352.0,6.67,14.46,8942.0,4544.0,4666.0,0.55
Delaware,27,82289.0,141825.0,68959.0,1.35,8.45,13121.0,7.08,14.56,4840.0,4703.0,4830.0,0.58
Delaware,28,87300.0,143775.0,72684.0,1.46,8.96,14210.0,7.46,14.76,5011.0,4720.0,4847.0,0.607
Delaware,29,92509.0,143775.0,76980.0,1.54,9.5,14956.0,7.9,14.76,5209.0,4641.0,4766.0,0.643
Delaware,30,99954.0,143775.0,82970.0,1.68,10.26,16397.0,8.52,14.76,7445.0,5110.0,5248.0,0.695
Delaware,31,102697.0,143775.0,84482.0,1.81,10.55,17628.0,8.68,14.76,2743.0,5112.0,5250.0,0.714
Delaware,32,103770.0,143775.0,85143.0,1.85,10.66,18040.0,8.74,14.76,1073.0,5038.0,5174.0,0.722
Delaware,33,107544.0,154700.0,88325.0,1.91,11.04,18568.0,9.07,15.89,3774.0,4299.0,4415.0,0.695
Delaware,34,110784.0,161525.0,89727.0,2.09,11.38,20394.0,9.21,16.59,3240.0,4071.0,4181.0,0.686
Delaware,35,114226.0,161525.0,92265.0,2.18,11.73,21264.0,9.48,16.59,3442.0,3847.0,3951.0,0.707
Delaware,36,118475.0,161525.0,94962.0,2.34,12.17,22791.0,9.75,16.59,4249.0,3709.0,3809.0,0.733
Delaware,37,123428.0,161525.0,98450.0,2.49,12.68,24245.0,10.11,16.59,4953.0,3353.0,3443.0,0.764
Delaware,38,126650.0,161525.0,100736.0,2.59,13.01,25179.0,10.34,16.59,3222.0,3422.0,3514.0,0.784
Dept of Defense,11,139439.0,376150.0,131056.0,,,8383.0,,,,,,0.371
Dept of Defense,12,139993.0,415500.0,131610.0,,,8383.0,,,554.0,554.0,,0.337
Dept of Defense,13,179724.0,464775.0,159851.0,,,,,,39731.0,20142.0,,0.387
Dept of Defense,14,201485.0,507975.0,179004.0,,,17946.0,,,21761.0,20682.0,,0.397
Dept of Defense,15,,,,,,,,,13323.25,18842.0,,
Dept of Defense,16,,,,,,,,,13323.25,17738.0,,
Dept of Defense,17,,,,,,,,,13323.25,17003.0,,
Dept of Defense,18,254778.0,507975.0,227934.0,,,21753.0,,,13323.25,16477.0,,0.502
Dept of Defense,19,256867.0,499400.0,229553.0,,,22157.0,,,2089.0,16696.0,,0.514
Dept of Defense,20,274473.0,574900.0,243577.0,,,25429.0,,,17606.0,13536.0,,0.477
Dept of Defense,21,292490.0,614200.0,258285.0,,,28602.0,,,18017.0,13001.0,,0.476
Dept of Defense,22,311567.0,677025.0,274128.0,,,31730.0,,,19077.0,13823.0,,0.46
Dept of Defense,23,336450.0,677025.0,296176.0,,,34204.0,,,24883.0,15474.0,,0.497
Dept of Defense,24,346180.0,677025.0,304294.0,,,35570.0,,,9730.0,14961.0,,0.511
Dept of Defense,25,346180.0,689425.0,304294.0,,,35570.0,,,0.0,13057.0,,0.502
Dept of Defense,26,366010.0,769450.0,318701.0,,,40396.0,,,19830.0,15592.0,,0.476
Dept of Defense,27,389927.0,794200.0,335627.0,,,46561.0,,,23917.0,16493.0,,0.491
Dept of Defense,28,415720.0,808800.0,353482.0,,,53084.0,,,25793.0,17604.0,,0.514
Dept of Defense,29,449958.0,816175.0,381304.0,,,59440.0,,,34238.0,19770.0,,0.551
Dept of Defense,30,481172.0,816175.0,404643.0,,,67235.0,,,31214.0,20675.0,,0.59
Dept of Defense,31,485125.0,816175.0,407915.0,,,67913.0,,,3953.0,19849.0,,0.594
Dept of Defense,32,490377.0,807025.0,412800.0,,,68278.0,,,5252.0,20600.0,,0.608
Dept of Defense,33,508965.0,872325.0,424284.0,,,75347.0,,,18588.0,20422.0,,0.583
Dept of Defense,34,530849.0,921400.0,436270.0,,,85122.0,,,21884.0,20132.0,,0.576
Dept of Defense,35,559379.0,940100.0,452438.0,,,97352.0,,,28530.0,20523.0,,0.595
Dept of Defense,36,588731.0,978500.0,468020.0,,,111028.0,,,29352.0,19825.0,,0.602
Dept of Defense,37,621487.0,978500.0,486222.0,,,125455.0,,,32756.0,20045.0,,0.635
Dept of Defense,38,632927.0,978500.0,495849.0,,,127265.0,,,11440.0,21115.0,,0.647
District of Columbia,11,29812.0,62725.0,,,4.22,,,8.89,,,,0.475
District of Columbia,12,33049.0,68325.0,1957.0,0.18,4.68,1275.0,0.28,9.68,3237.0,3237.0,4587.0,0.484
District of Columbia,13,36679.0,68325.0,29927.0,,5.2,,4.24,9.68,3630.0,3434.0,4866.0,0.537
District of Columbia,14,39934.0,68325.0,31667.0,1.17,5.66,8250.0,4.49,9.68,3255.0,3374.0,4781.0,0.584
District of Columbia,15,,,,,,,,,2513.5,3159.0,4476.0,
District of Columbia,16,,,,,,,,,2513.5,3030.0,4293.0,
District of Columbia,17,,,,,,,,,2513.5,2944.0,4171.0,
District of Columbia,18,49988.0,68325.0,39747.0,1.44,7.08,10196.0,5.63,9.68,2513.5,2882.0,4084.0,0.732
District of Columbia,19,51733.0,75175.0,41135.0,1.5,7.33,10553.0,5.83,10.65,1745.0,2669.0,3782.0,0.688
District of Columbia,20,55108.0,75175.0,43377.0,1.66,7.81,11685.0,6.15,10.65,3375.0,2633.0,3731.0,0.733
District of Columbia,21,56864.0,90225.0,44773.0,1.71,8.06,12045.0,6.34,12.78,1756.0,2419.0,3428.0,0.63
District of Columbia,22,59793.0,91025.0,47088.0,1.79,8.47,12649.0,6.67,12.9,2929.0,2478.0,3511.0,0.657
District of Columbia,23,62391.0,91025.0,49292.0,1.85,8.84,13043.0,6.98,12.9,2598.0,2490.0,3528.0,0.685
District of Columbia,24,64194.0,91025.0,50902.0,1.88,9.1,13236.0,7.21,12.9,1803.0,2388.0,3384.0,0.705
District of Columbia,25,64748.0,97600.0,51399.0,1.88,9.17,13293.0,7.28,13.83,554.0,2109.0,2988.0,0.663
District of Columbia,26,68086.0,107575.0,53590.0,2.04,9.65,14434.0,7.59,15.24,3338.0,2336.0,3310.0,0.633
District of Columbia,27,70839.0,144425.0,55599.0,2.15,10.04,15177.0,7.88,20.46,2753.0,2247.0,3184.0,0.49
District of Columbia,28,73328.0,148325.0,57152.0,2.28,10.39,16112.0,8.1,21.02,2489.0,2352.0,3333.0,0.494
District of Columbia,29,76672.0,148525.0,59570.0,2.41,10.86,17029.0,8.44,21.04,3344.0,2411.0,3416.0,0.516
District of Columbia,30,80526.0,148525.0,61737.0,2.65,11.41,18710.0,8.75,21.04,3854.0,2591.0,3671.0,0.542
District of Columbia,31,82519.0,148525.0,63208.0,2.72,11.69,19217.0,8.96,21.04,1993.0,2618.0,3710.0,0.556
District of Columbia,32,83553.0,147125.0,64241.0,2.72,11.84,19218.0,9.1,20.85,1034.0,2686.0,3806.0,0.568
District of Columbia,33,85065.0,159925.0,65207.0,2.8,12.05,19753.0,9.24,22.66,1512.0,2426.0,3437.0,0.532
District of Columbia,34,94095.0,164900.0,66645.0,3.02,13.33,21313.0,9.44,23.36,9030.0,3322.0,4707.0,0.571
District of Columbia,35,98862.0,166950.0,69999.0,3.22,14.01,22719.0,9.92,23.66,4767.0,3648.0,5169.0,0.592
District of Columbia,36,102031.0,166950.0,71810.0,3.41,14.46,24069.0,10.17,23.66,3169.0,3623.0,5134.0,0.611
District of Columbia,37,105819.0,166950.0,73505.0,3.7,14.99,26151.0,10.42,23.66,3788.0,3613.0,5119.0,0.634
District of Columbia,38,108475.0,166950.0,75351.0,3.82,15.37,26957.0,10.68,23.66,2656.0,3708.0,5254.0,0.65
Federated States of Micronesia,11,424.0,9800.0,414.0,,0.41,,0.4,9.46,,,,0.043
Federated States of Micronesia,12,565.0,9800.0,555.0,,0.55,,0.53,9.46,141.0,141.0,1360.0,0.058
Federated States of Micronesia,13,605.0,9800.0,604.0,,0.58,,0.58,9.46,40.0,90.0,868.0,0.062
Federated States of Micronesia,14,694.0,9800.0,692.0,0.0,0.67,2.0,0.67,9.46,89.0,90.0,868.0,0.071
Federated States of Micronesia,15,,,,,,,,,185.5,114.0,1100.0,
Federated States of Micronesia,16,,,,,,,,,185.5,128.0,1235.0,
Federated States of Micronesia,17,,,,,,,,,185.5,138.0,1331.0,
Federated States of Micronesia,18,1436.0,9800.0,1434.0,0.0,1.39,2.0,1.38,9.46,185.5,145.0,1399.0,0.147
Federated States of Micronesia,19,1756.0,9800.0,1753.0,0.0,1.69,3.0,1.69,9.46,320.0,170.0,1640.0,0.179
Federated States of Micronesia,20,2087.0,9800.0,2084.0,0.0,2.01,3.0,2.01,9.46,331.0,212.0,2045.0,0.213
Federated States of Micronesia,21,2514.0,9800.0,2511.0,0.0,2.43,3.0,2.42,9.46,427.0,260.0,2509.0,0.257
Federated States of Micronesia,22,2752.0,13600.0,2749.0,0.0,2.66,3.0,2.65,13.12,238.0,268.0,2586.0,0.202
Federated States of Micronesia,23,2752.0,13600.0,2749.0,0.0,2.66,3.0,2.65,13.12,0.0,241.0,2325.0,0.202
Federated States of Micronesia,24,2758.0,19400.0,2755.0,0.0,2.66,3.0,2.66,18.72,6.0,215.0,2074.0,0.142
Federated States of Micronesia,25,2977.0,19400.0,2973.0,0.0,2.87,4.0,2.87,18.72,219.0,220.0,2123.0,0.153
Federated States of Micronesia,26,3241.0,19400.0,3210.0,0.0,3.13,4.0,3.1,18.72,264.0,212.0,2045.0,0.167
Federated States of Micronesia,27,3502.0,19400.0,3471.0,0.0,3.38,4.0,3.35,18.72,261.0,202.0,1949.0,0.181
Federated States of Micronesia,28,3965.0,19400.0,3933.0,0.0,3.83,5.0,3.8,18.72,463.0,207.0,1997.0,0.204
Federated States of Micronesia,29,3965.0,19400.0,3933.0,0.0,3.83,5.0,3.8,18.72,0.0,173.0,1669.0,0.204
Federated States of Micronesia,30,3965.0,19400.0,3933.0,0.0,3.83,5.0,3.8,18.72,0.0,173.0,1669.0,0.204
Federated States of Micronesia,31,5110.0,19400.0,5068.0,0.01,4.93,15.0,4.89,18.72,1145.0,336.0,3242.0,0.263
Federated States of Micronesia,32,5726.0,19400.0,5683.0,0.02,5.52,16.0,5.48,18.72,616.0,393.0,3792.0,0.295
Federated States of Micronesia,33,6254.0,19400.0,6210.0,0.02,6.03,17.0,5.99,18.72,528.0,430.0,4149.0,0.322
Federated States of Micronesia,34,6699.0,21900.0,6646.0,0.02,6.46,26.0,6.41,21.13,445.0,457.0,4409.0,0.306
Federated States of Micronesia,35,7005.0,21900.0,6943.0,0.03,6.76,35.0,6.7,21.13,306.0,434.0,4187.0,0.32
Federated States of Micronesia,36,7335.0,21900.0,7230.0,0.08,7.08,78.0,6.98,21.13,330.0,481.0,4641.0,0.335
Federated States of Micronesia,37,7415.0,21900.0,7309.0,0.08,7.15,79.0,7.05,21.13,80.0,493.0,4757.0,0.339
Federated States of Micronesia,38,7449.0,21900.0,7310.0,0.11,7.19,112.0,7.05,21.13,34.0,334.0,3223.0,0.34
Florida,11,633440.0,1676300.0,586741.0,0.19,2.95,41725.0,2.73,7.8,,,,0.378
Florida,12,705398.0,1680200.0,647330.0,0.25,3.28,52969.0,3.01,7.82,71958.0,71958.0,3350.0,0.42
Florida,13,774485.0,1970875.0,709002.0,,3.61,,3.3,9.18,69087.0,70522.0,3283.0,0.393
Florida,14,853081.0,2069175.0,776430.0,0.35,3.97,74776.0,3.62,9.63,78596.0,73214.0,3409.0,0.412
Florida,15,,,,,,,,,80401.0,75010.0,3492.0,
Florida,16,,,,,,,,,80401.0,76089.0,3543.0,
Florida,17,,,,,,,,,80401.0,76807.0,3576.0,
Florida,18,1174685.0,2069175.0,1068787.0,0.48,5.47,103173.0,4.98,9.63,80401.0,77321.0,3600.0,0.568
Florida,19,1239975.0,2545050.0,1125338.0,0.52,5.77,111763.0,5.24,11.85,65290.0,76368.0,3556.0,0.487
Florida,20,1239975.0,2546050.0,1125338.0,0.52,5.77,111763.0,5.24,11.85,0.0,66499.0,3096.0,0.487
Florida,21,1314377.0,2616250.0,1186719.0,0.58,6.12,124582.0,5.52,12.18,74402.0,65899.0,3068.0,0.502
Florida,22,1489003.0,2908275.0,1333116.0,0.71,6.93,152209.0,6.21,13.54,174626.0,79360.0,3695.0,0.512
Florida,23,1544794.0,2908275.0,1384479.0,0.73,7.19,156226.0,6.45,13.54,55791.0,75844.0,3531.0,0.531
Florida,24,1544794.0,2908275.0,1384407.0,0.73,7.19,156298.0,6.45,13.54,0.0,64359.0,2997.0,0.531
Florida,25,1575490.0,3095350.0,1412466.0,0.74,7.34,158886.0,6.58,14.41,30696.0,57258.0,2666.0,0.509
Florida,26,1632491.0,3095850.0,1451507.0,0.82,7.6,176671.0,6.76,14.41,57001.0,56074.0,2611.0,0.527
Florida,27,1707251.0,3095850.0,1497903.0,0.95,7.95,204623.0,6.97,14.41,74760.0,66754.0,3108.0,0.551
Florida,28,1796246.0,3220350.0,1554179.0,1.1,8.36,236834.0,7.24,14.99,88995.0,68838.0,3205.0,0.558
Florida,29,1890198.0,3396350.0,1610425.0,1.28,8.8,274211.0,7.5,15.81,93952.0,57314.0,2669.0,0.557
Florida,30,1959626.0,3396350.0,1656005.0,1.39,9.12,297584.0,7.71,15.81,69428.0,59262.0,2759.0,0.577
Florida,31,2005378.0,3396350.0,1683674.0,1.47,9.34,315392.0,7.84,15.81,45752.0,65798.0,3064.0,0.59
Florida,32,2048143.0,3657775.0,1712327.0,1.53,9.54,329176.0,7.97,17.03,42765.0,67522.0,3144.0,0.56
Florida,33,2133168.0,3658975.0,1752699.0,1.74,9.93,373238.0,8.16,17.04,85025.0,71525.0,3330.0,0.583
Florida,34,2223754.0,3658975.0,1793625.0,1.97,10.35,422482.0,8.35,17.04,90586.0,73786.0,3435.0,0.608
Florida,35,2260744.0,3791925.0,1812723.0,2.05,10.53,440172.0,8.44,17.66,36990.0,66357.0,3090.0,0.596
Florida,36,2385839.0,3791925.0,1865090.0,2.38,11.11,512064.0,8.68,17.66,125095.0,70806.0,3297.0,0.629
Florida,37,2607527.0,3791925.0,1965590.0,2.93,12.14,629556.0,9.15,17.66,221688.0,92557.0,4309.0,0.688
Florida,38,2607527.0,3791925.0,1965590.0,2.93,12.14,629556.0,9.15,17.66,0.0,86021.0,4005.0,0.688
Georgia,11,170571.0,960975.0,85110.0,0.07,1.61,7746.0,0.8,9.05,,,,0.177
Georgia,12,198756.0,1003975.0,86105.0,0.08,1.87,8937.0,0.81,9.46,28185.0,28185.0,2655.0,0.198
Georgia,13,231305.0,1010900.0,204301.0,,2.18,,1.92,9.52,32549.0,30367.0,2860.0,0.229
Georgia,14,231305.0,1011200.0,204301.0,0.21,2.18,22324.0,1.92,9.52,0.0,20245.0,1907.0,0.229
Georgia,15,,,,,,,,,20257.75,20248.0,1907.0,
Georgia,16,,,,,,,,,20257.75,20250.0,1907.0,
Georgia,17,,,,,,,,,20257.75,20251.0,1907.0,
Georgia,18,312336.0,1011200.0,278151.0,0.27,2.94,28907.0,2.62,9.52,20257.75,20252.0,1907.0,0.309
Georgia,19,397048.0,1077375.0,356010.0,0.33,3.74,35029.0,3.35,10.15,84712.0,28327.0,2668.0,0.369
Georgia,20,453862.0,1162275.0,407000.0,0.38,4.28,39972.0,3.83,10.95,56814.0,31794.0,2995.0,0.39
Georgia,21,603486.0,1235375.0,533665.0,0.56,5.68,59925.0,5.03,11.64,149624.0,53169.0,5008.0,0.489
Georgia,22,604067.0,1235775.0,534161.0,0.56,5.69,59965.0,5.03,11.64,581.0,50358.0,4743.0,0.489
Georgia,23,604067.0,1235775.0,534161.0,0.56,5.69,59965.0,5.03,11.64,0.0,47464.0,4470.0,0.489
Georgia,24,604067.0,1235775.0,534161.0,0.56,5.69,59965.0,5.03,11.64,0.0,44570.0,4198.0,0.489
Georgia,25,668589.0,1309850.0,591385.0,0.61,6.3,64989.0,5.57,12.34,64522.0,50893.0,4793.0,0.51
Georgia,26,712866.0,1412450.0,622905.0,0.71,6.71,75360.0,5.87,13.3,44277.0,45117.0,4249.0,0.505
Georgia,27,764211.0,1441025.0,659212.0,0.84,7.2,89305.0,6.21,13.57,51345.0,44336.0,4176.0,0.53
Georgia,28,810291.0,1448825.0,693085.0,0.94,7.63,99941.0,6.53,13.65,46080.0,29544.0,2783.0,0.559
Georgia,29,856746.0,1449800.0,729117.0,1.03,8.07,109311.0,6.87,13.66,46455.0,36097.0,3400.0,0.591
Georgia,30,906186.0,1449800.0,766875.0,1.13,8.54,119878.0,7.22,13.66,49440.0,43160.0,4065.0,0.625
Georgia,31,930517.0,1449800.0,785487.0,1.18,8.76,125548.0,7.4,13.66,24331.0,46636.0,4392.0,0.642
Georgia,32,940066.0,1557175.0,790354.0,1.22,8.85,129885.0,7.44,14.67,9549.0,38782.0,3653.0,0.604
Georgia,33,975038.0,1638700.0,813214.0,1.33,9.18,140900.0,7.66,15.43,34972.0,37453.0,3528.0,0.595
Georgia,34,1008040.0,1686125.0,834091.0,1.44,9.49,152626.0,7.86,15.88,33002.0,34833.0,3281.0,0.598
Georgia,35,1051622.0,1688075.0,860543.0,1.59,9.9,169163.0,8.1,15.9,43582.0,34476.0,3247.0,0.623
Georgia,36,1098863.0,1688075.0,887597.0,1.78,10.35,188736.0,8.36,15.9,47241.0,34588.0,3258.0,0.651
Georgia,37,1146024.0,1688075.0,912189.0,1.98,10.79,210237.0,8.59,15.9,47161.0,34263.0,3227.0,0.679
Georgia,38,1167738.0,1688075.0,923282.0,2.07,11.0,219840.0,8.7,15.9,21714.0,33889.0,3192.0,0.692
Guam,11,3791.0,26500.0,401.0,,2.29,,0.24,15.99,,,,0.143
Guam,12,3791.0,34300.0,401.0,,2.29,,0.24,20.69,0.0,0.0,0.0,0.111
Guam,13,3791.0,34300.0,3785.0,,2.29,,2.28,20.69,0.0,0.0,0.0,0.111
Guam,14,3791.0,34300.0,3785.0,,2.29,,2.28,20.69,0.0,0.0,0.0,0.111
Guam,15,,,,,,,,,0.0,0.0,0.0,
Guam,16,,,,,,,,,0.0,0.0,0.0,
Guam,17,,,,,,,,,0.0,0.0,0.0,
Guam,18,3791.0,34300.0,3785.0,,2.29,,2.28,20.69,0.0,0.0,0.0,0.111
Guam,19,3791.0,34300.0,3785.0,,2.29,,2.28,20.69,0.0,0.0,0.0,0.111
Guam,20,3791.0,34300.0,3785.0,,2.29,,2.28,20.69,0.0,0.0,0.0,0.111
Guam,21,3791.0,34300.0,3785.0,,2.29,,2.28,20.69,0.0,0.0,0.0,0.111
Guam,22,3791.0,34300.0,3785.0,,2.29,,2.28,20.69,0.0,0.0,0.0,0.111
Guam,23,3791.0,34300.0,3785.0,,2.29,,2.28,20.69,0.0,0.0,0.0,0.111
Guam,24,3791.0,34300.0,3785.0,,2.29,,2.28,20.69,0.0,0.0,0.0,0.111
Guam,25,17306.0,34300.0,13378.0,2.29,10.44,3803.0,8.07,20.69,13515.0,1931.0,11649.0,0.505
Guam,26,18263.0,34300.0,14269.0,2.33,11.02,3869.0,8.61,20.69,957.0,2067.0,12469.0,0.532
Guam,27,19520.0,34300.0,15405.0,2.39,11.77,3969.0,9.29,20.69,1257.0,2247.0,13555.0,0.569
Guam,28,21254.0,34300.0,16747.0,2.63,12.82,4358.0,10.1,20.69,1734.0,2495.0,15051.0,0.62
Guam,29,22454.0,34300.0,17784.0,2.71,13.54,4499.0,10.73,20.69,1200.0,2666.0,16083.0,0.655
Guam,30,22454.0,34300.0,17784.0,2.71,13.54,4499.0,10.73,20.69,0.0,2666.0,16083.0,0.655
Guam,31,23445.0,34300.0,18538.0,2.86,14.14,4736.0,11.18,20.69,991.0,2808.0,16939.0,0.684
Guam,32,24810.0,43500.0,19700.0,2.98,14.97,4936.0,11.88,26.24,1365.0,1072.0,6467.0,0.57
Guam,33,26068.0,43500.0,20785.0,3.08,15.73,5108.0,12.54,26.24,1258.0,1115.0,6726.0,0.599
Guam,34,26068.0,51300.0,20785.0,3.08,15.73,5108.0,12.54,30.95,0.0,935.0,5640.0,0.508
Guam,35,27369.0,51300.0,21871.0,3.21,16.51,5321.0,13.19,30.95,1301.0,874.0,5272.0,0.534
Guam,36,28959.0,51300.0,23195.0,3.37,17.47,5581.0,13.99,30.95,1590.0,929.0,5604.0,0.565
Guam,37,29572.0,51300.0,23564.0,3.51,17.84,5820.0,14.22,30.95,613.0,1017.0,6135.0,0.576
Guam,38,29719.0,51300.0,23693.0,3.52,17.93,5838.0,14.29,30.95,147.0,896.0,5405.0,0.579
Hawaii,11,33483.0,141750.0,,,2.37,,,10.01,,,,0.236
Hawaii,12,36605.0,154150.0,,,2.58,,,10.89,3122.0,3122.0,2205.0,0.237
Hawaii,13,47985.0,154150.0,,,3.39,,,10.89,11380.0,7251.0,5121.0,0.311
Hawaii,14,46958.0,154150.0,39690.0,0.51,3.32,7268.0,2.8,10.89,-1027.0,4492.0,3173.0,0.305
Hawaii,15,,,,,,,,,4249.0,4431.0,3130.0,
Hawaii,16,,,,,,,,,4249.0,4395.0,3104.0,
Hawaii,17,,,,,,,,,4249.0,4370.0,3086.0,
Hawaii,18,63954.0,154150.0,52635.0,0.8,4.52,11319.0,3.72,10.89,4249.0,4353.0,3074.0,0.415
Hawaii,19,71944.0,154150.0,58111.0,0.98,5.08,13833.0,4.1,10.89,7990.0,5048.0,3565.0,0.467
Hawaii,20,79414.0,189675.0,63282.0,1.14,5.61,16132.0,4.47,13.4,7470.0,4490.0,3171.0,0.419
Hawaii,21,84793.0,191375.0,67991.0,1.19,5.99,16802.0,4.8,13.52,5379.0,5405.0,3817.0,0.443
Hawaii,22,84792.0,191575.0,67990.0,1.19,5.99,16802.0,4.8,13.53,-1.0,4798.0,3389.0,0.443
Hawaii,23,84792.0,191575.0,67990.0,1.19,5.99,16802.0,4.8,13.53,0.0,4191.0,2960.0,0.443
Hawaii,24,92092.0,191575.0,74296.0,1.26,6.5,17795.0,5.25,13.53,7300.0,4627.0,3268.0,0.481
Hawaii,25,93760.0,210425.0,75820.0,1.27,6.62,17939.0,5.36,14.86,1668.0,4258.0,3007.0,0.446
Hawaii,26,97692.0,217425.0,79147.0,1.31,6.9,18544.0,5.59,15.36,3932.0,3678.0,2598.0,0.449
Hawaii,27,103944.0,226700.0,84139.0,1.4,7.34,19804.0,5.94,16.01,6252.0,3504.0,2475.0,0.459
Hawaii,28,111165.0,226800.0,89428.0,1.54,7.85,21736.0,6.32,16.02,7221.0,3767.0,2661.0,0.49
Hawaii,29,120502.0,227400.0,96743.0,1.68,8.51,23758.0,6.83,16.06,9337.0,5101.0,3603.0,0.53
Hawaii,30,129267.0,227400.0,103398.0,1.83,9.13,25868.0,7.3,16.06,8765.0,6354.0,4488.0,0.568
Hawaii,31,135836.0,227400.0,108745.0,1.91,9.59,27090.0,7.68,16.06,6569.0,6249.0,4414.0,0.597
Hawaii,32,137914.0,246550.0,110757.0,1.92,9.74,27156.0,7.82,17.41,2078.0,6308.0,4455.0,0.559
Hawaii,33,143686.0,253150.0,115440.0,2.0,10.15,28245.0,8.15,17.88,5772.0,6571.0,4641.0,0.568
Hawaii,34,151107.0,262900.0,120533.0,2.16,10.67,30573.0,8.51,18.57,7421.0,6738.0,4759.0,0.575
Hawaii,35,169713.0,262900.0,126683.0,2.38,11.99,33726.0,8.95,18.57,18606.0,8364.0,5907.0,0.646
Hawaii,36,179059.0,263000.0,132701.0,2.62,12.65,37054.0,9.37,18.58,9346.0,8365.0,5908.0,0.681
Hawaii,37,187048.0,263000.0,137230.0,2.86,13.21,40514.0,9.69,18.58,7989.0,8254.0,5830.0,0.711
Hawaii,38,194035.0,263000.0,142259.0,3.0,13.7,42472.0,10.05,18.58,6987.0,8314.0,5872.0,0.738
Idaho,11,35845.0,146750.0,31504.0,0.24,2.01,4308.0,1.76,8.21,,,,0.244
Idaho,12,38872.0,158125.0,33176.0,0.32,2.17,5653.0,1.86,8.85,3027.0,3027.0,1694.0,0.246
Idaho,13,42586.0,160075.0,35179.0,,2.38,,1.97,8.96,3714.0,3370.0,1886.0,0.266
Idaho,14,46636.0,160075.0,37646.0,0.5,2.61,8843.0,2.11,8.96,4050.0,3597.0,2013.0,0.291
Idaho,15,,,,,,,,,4334.75,3781.0,2116.0,
Idaho,16,,,,,,,,,4334.75,3892.0,2178.0,
Idaho,17,,,,,,,,,4334.75,3966.0,2219.0,
Idaho,18,63975.0,160075.0,53609.0,0.57,3.58,10165.0,3.0,8.96,4334.75,4019.0,2249.0,0.4
Idaho,19,69267.0,166850.0,58328.0,0.6,3.88,10738.0,3.26,9.34,5292.0,4342.0,2430.0,0.415
Idaho,20,73372.0,178175.0,61118.0,0.66,4.11,11760.0,3.42,9.97,4105.0,4398.0,2461.0,0.412
